Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-86-7701-01A-11R-2170-07	0.0127142710316409	0	0.280552925511375	0.108278629059327	0	0.198554304381589	0.0465536268318294	0.0217092366446715	0.0681488707400826	0	0.00283025066892344	0.00405125631625951	0.00207098844931484	0.0681657211489534	0.0531914207913974	0.0564975807060032	0.0363109179040247	0.00943812871011715	0.0290254036229638	0	0	0.00190646748152714	0	0.332711534159522	0.944141321191255
TCGA-64-5781-01A-01R-1628-07	0.00368850557036473	0	0.117182841628175	0.319148973800505	0	0	0.147207378305874	0.0445771540934367	0.00739931161206687	0	0	0.107824706007026	0.00319447006922289	0.0724767671192283	0.0496276135902674	0.0675338196453546	0.00592161485063194	0	0.0537675067939257	0	0.000449336913921661	0	0	0.435472952979578	0.900500058846572
TCGA-MN-A4N1-01A-11R-A24X-07	0.0153865084195599	0	0.0505908650315939	0.0142139604914589	0	0.0757005477090664	0	0.0279312171725686	0.0977110029323172	0	0.00935745835152427	0	0.0256774983518163	0.447591490311488	0.00621710243162338	0.166989301004387	0.00587780189031372	0.0563859439456905	0.000369301956591787	0	0	0	0	0.305742198158034	0.989023619174821
TCGA-99-AA5R-01A-11R-A39D-07	0.0191335575975624	0.0730130756531186	0.0278130400253394	0.132844790809555	0	0.285006378875898	0	0.0396687637388181	0	0	0	0.0662128277859841	0.00631667730698741	0.136448052296589	0.062343251779539	0.0941430646416924	0.0185278518111871	0	0.0364356613973325	0	0	0.00209300628039777	0	0.447188003539567	0.893667761322113
TCGA-55-8512-01A-11R-2403-07	0.0149369237193637	0	0.0495814928111521	0.101557313309378	0	0.157267283758646	0	0.00601214528923562	0	0	0.0312105736289457	0.0400621495948493	0.0753573882736794	0.104398478379637	0	0.24469527609293	0	0.0461412166344922	0.0394602673587748	0	0.0178208856567794	0.0714986054921364	0.16	0.0984707168106781	1.04822270246923
TCGA-44-2656-01B-06R-A277-07	0.0493781386328273	0	0.0262158877806488	0.0596828931992456	0	0.31278210272416	0.042877924511903	0	0	0	0	0.0231896985809241	0.0040677706912584	0.0353260641250502	0.0470232448168427	0.194532705817974	0	0.131401146688067	0.0734867251261301	0	0	3.56973049691138e-05	0	0.218371702801086	0.996975714182621
TCGA-55-8205-01A-11R-2241-07	0.0143378673133465	0	0.057367201519042	0.133780756635417	0	0.13288018577234	0.0807979909790215	0.032820079609819	0	0	0	0.0361879396105165	0.0256000446456505	0.0526293290266435	0.0821786999122474	0.25035058499901	0.0778734528484958	0	0.0115027936919064	0	0.00656700678555989	0.0051260666509843	0	0.391482324715349	0.919711319721409
TCGA-64-5778-01A-01R-1628-07	0.044963834870578	0	0.0786371942193562	0.248432721983526	0	0.0789164588775149	0.0536876800553212	0.033165282541942	0.0664481917893349	0.0212212522782764	0	0	0	0.0800749984430988	0.167338944419725	0.0888996041157608	0.0113283854275981	0	0.026885450977968	0	0	0	0	0.556606105359184	0.833629815541386
TCGA-49-6742-01A-11R-1858-07	0.0172621927977935	0	0.0798126721252875	0.0785214996257752	0	0.14593171630707	0.00043646092313237	0.0244418123426384	0.0010818632032831	0	0	0.0655912844403196	0.0206231249728892	0.0519337933630207	0.031825767130364	0.291575246778144	0	0.102293249181825	0.0820807126115259	0	0	0.00658860419693143	0.01	0.189458980078299	1.00597008962212
TCGA-35-3615-01A-01R-0946-07	0.0142354629449259	0	0.106386438926171	0.0280921611716191	0	0.16146164952891	0.00551656628483935	0.0356941222495793	0.00682958747235535	0	0	0.00617970641820845	0	0.168921052169329	0.039209431624677	0.291054722048106	0.00738973808126071	0.0352117134780879	0.0906957510340746	0	0	0.00312189656785636	0	0.392182765765344	0.920256926487869
TCGA-95-7567-01A-11R-2066-07	0.00585407606495769	0	0.183770721845256	0.00765980847447919	0	0.178247439049138	0.0349704478495382	0.0279666727436587	0.0464467376436102	0.0349664736143888	0	0.0322954876596679	0	0.0435371859613026	0.0867806500168424	0.235363459345441	0.0291797043619555	0.0243917088345846	0.0285694265351792	0	0	0	0	0.317139263901869	0.950391376814459
TCGA-50-5946-01A-11R-1755-07	0.0403793887881312	0	0.103354043898415	0.12085048872542	0	0.157808726489453	0.010177689739715	0.0821754914411289	0.0240410553011661	0	0	0.0451325875436164	0.00986105010369586	0.113631610869423	0.065713900524516	0.127460282296035	0.0154047480438496	0.0249768807563162	0.0522474659242953	0	0	0.00678458955482266	0.33	0.0603550252042953	1.05434001555863
TCGA-55-8508-01A-11R-2403-07	0	0.00579521041020991	0.468365372253247	0.0540140317239542	0	0.0240952297697571	0.00060786313546656	0.0073219229356167	0.0559365024073923	0	0	0.0183846471075119	0	0.277318198882973	0.0196066456295213	0.0352091536728915	0	0	0.0129262293851957	0	0	0.0204189926862635	0	0.436366683547458	0.901631008260559
TCGA-05-4427-01A-21R-1858-07	0.0220125182993652	0	0.066929844728826	0.0940610559935989	0	0.130926457381403	0.0680641606594077	0.0335035313285687	0.00316719504319448	0	0	0.00832054496690475	0.0494100837277689	0.0676571361973603	0.0823880830196772	0.1725972214142	0.129590605832851	0.00651390209881615	0.0591455773366527	0	0.00395186837336343	0.00176021359804206	0	0.300379339511395	0.956779808326753
TCGA-78-7143-01A-11R-2039-07	0.0391272214353676	0	0	0.0264153393869615	0	0.208647737206637	0	0.0438567404944644	0.0264954291719432	0	0	0.0166545533110228	0.0221575270793661	0.120907376930563	0.00623703998104242	0.117834497673578	0.149212880337148	0.15789595186908	0.063589224083496	0	0	0.000968481039329347	0	0.403473177958288	0.914602380192407
TCGA-69-8254-01A-11R-2287-07	0.0497972700286233	0	0.114425773275486	0.00451542668433856	0	0.22572905575709	0.00952299392785792	0	0.0106296927022818	0.0258085569884066	0	0.00118879739082898	0.015656196183581	0.099744872506664	0.115321214060439	0.150053311973166	0.050183531579911	0.0126987258516162	0.114724581089709	0	0	0	0	0.234180004941191	0.984735701327732
TCGA-55-6979-01A-11R-1949-07	0	0	0.0934773262073582	0.0917812536961652	0	0.116783746806383	0.0333950653886261	0.0279405051120471	0.05072463356834	0	0	0.0182644598480713	0	0.191785625058585	0.159010217832418	0.163780196516934	0.0129475556060058	0	0.0317700117806608	0	0	0.00833940257840584	0	0.624455558341773	0.795523296860697
TCGA-05-4417-01A-22R-1858-07	0.0357461356007459	0	0.0634574567403099	0.0366851930438417	0	0.236833418145271	0.0767997415352071	0.0244020740079204	0.0131134054019706	0	0	0.0316866635811597	0	0.145258552434379	0.0657325972433997	0.145499332847459	0.0444682664942564	0.0178680068176298	0.0557605361270731	0	0	0.00668861997937707	0	0.433558202094437	0.901136317706354
TCGA-49-AARE-01A-11R-A41B-07	0.0166276271565002	0	0.0728920011921236	0.105615321166708	0	0	0.0221497050214741	0.0321444851584419	0.0482052277577649	0	0	0.0250416413195958	0	0.333537390335115	0.159243339082652	0.129506816706491	0	0	0.0550364451031334	0	0	0	0	0.47768721430645	0.879031596183059
TCGA-64-5774-01A-01R-1628-07	0.0733680078824912	0	0.216372375524017	0.0220953100688124	0	0.150094301933564	0	0.0344113217915736	0.132671220660306	0	0	0.0424364835657534	0	0.219244386148495	0.0322554763107	0.0682644577113142	0	0.00133892975083273	0	0	0	0.0074477286521415	0.29	0.0653252044458438	1.05350378229911
TCGA-55-1592-01A-01R-0946-07	0.0435887990212525	0	0.0794472306193681	0.0350067471877861	0	0.125614756215744	0	0.0285654459957969	0.00809683923075832	0	0.00108210973251526	0.00434760451343218	0.0727521800909866	0.225555712289806	0.0779422355569012	0.174975447454704	0.0685841715945012	0	0.0430464692520283	0	0	0.0113942512444187	0	0.32637701860311	0.951613879071553
TCGA-49-AAR4-01A-12R-A41B-07	0.0114355334031816	0	0.0928891347520948	0.401461205286064	0	0	0.0415890054144657	0.0584446877478382	0.0413902456044454	0.0763435349106232	0	0.000871103848970003	0	0.111389893797204	0.0501352826592794	0.0911883883397065	0.00644378164417319	0	0.00731676285503871	0.00688136987893079	0	0.0022200698579851	0	0.533107807426963	0.846044982072814
TCGA-78-7160-01A-11R-2039-07	0.00984854663539843	0	0.0345740597009943	0.108362075881741	0	0.296718999875963	0.0140885320240223	0.024108444651592	0.020009977408175	0.000196057303303413	0	0.00866256306236002	0.0119468205176141	0.0806664769316657	0.086360796362731	0.189290605667638	0.0406483461099556	0.0211767525346778	0.050583420696387	0	0	0.00275752463578089	0	0.463816466043401	0.885580880807867
